Tc,Txn
1,0.6491714150805702
2,0.22894292111320472
3,0.07944092721485828
4,0.027327980903761578
5,0.009589029164573881
6,0.003448577112227088
7,0.0012591027945721201
8,0.00047613907167133525
9,0.0001843587259215231
10,0.00015954881863931383
