max_Txn,1,2,3,4,5,6,7,8,9
2,0.5065201996508792,,,,,,,,
3,0.5297286758572353,0.4737020886133187,,,,,,,
4,0.5754218406624743,0.48008556795041446,0.4621646084035451,,,,,,
5,0.6216486687767641,0.524751019036013,0.462855647362321,0.4592660397769826,,,,,
6,0.654774323666458,0.5599697313658721,0.49581719162315424,0.4450754745180093,0.4541147020696437,,,,
7,0.6957360188557961,0.6115526264779996,0.5260175167439464,0.4791353947763434,0.45572812956325504,0.4618536820537544,,,
8,0.7276214833759591,0.6313043478260869,0.5539014373716632,0.4968944099378882,0.4433631763332036,0.4211618257261411,0.43920202659911334,,
9,0.7212806026365348,0.6278260869565218,0.5748865355521936,0.5398936170212766,0.4982738780207135,0.4626262626262626,0.4585987261146497,0.446843853820598,
10,0.733615221987315,0.6277227722772277,0.552772808586762,0.5348460291734197,0.45132743362831856,0.4533508541392904,0.431980906921241,0.4370290635091496,0.4416498993963783
